District name,Fiscal year,County,Operational efficiency peer group,Transportation efficiency peer group,Student achievement peer group,Legislative district(s),District size,Location,Students attending,Number of schools,Instruction,Instruction (peer average),Administration,Plant operations,Food service,Transportation,Student support,Instruction support,Administration cost per pupil,Peer average: Administration cost per pupil,Administration cost per pupil relative to peer average,Students per administrative position,Peer average: Students per administrative position,Overall administration measure relative to peer average,Plant operations cost per square foot,Peer average: Plant operations cost per square foot,Plant operations cost per square foot relative to peer average,Square footage per student,Peer average: Square footage per student,Square footage per student relative to peer average,Overall plant operations measures relative to peer average,Food service cost per meal,Peer average: Food service cost per meal,Food service cost per meal relative to peer average,Overall food service measure relative to peer average,Transportation cost per mile,Peer average: Transportation cost per mile,Transportation cost per mile relative to peer average,Transportation cost per rider,Peer average: Transportation cost per rider,Transportation cost per rider relative to peer average,Overall transportation measures relative to peer average,Instruction,Peer average: Instruction,Administration,Peer average: Administration,Plant operations,Peer average: Plant operations,Food service,Peer average: Food service,Transportation,Peer average: Transportation,Student support,Peer average: Student support,Instruction support,Peer average: Instruction support,Total operational spending per pupil,Peer average: Total operational spending,Land and buildings,Peer average: Land and buildings,Equipment,Peer average: Equipment,Interest,Peer average: Interest,Other,Peer average: Other,Total nonoperational spending per pupil,Peer average total nonoperational spending,Total per pupil spending,Peer average: Total per pupil spending,Math,Peer group: Math,English Language Arts,Peer group: English Language Arts,Science,Peer group: Science,Attendance rate,Peer average: Attendance rate,Graduation rate (FY 2016),Peer average: Graduation rate (FY 2016),Poverty rate (FY 2016),Peer average: Poverty rate (FY 2016),Special education population,Peer average: Special education population,Students per teacher,Peer average: Students per teacher,Average teacher salary,Peer average: Average teacher salary,Average teacher salary amount from Prop 301,Peer average: Average teacher salary amount from Prop 301,Average years of teacher experience,Peer average: Average years of teacher experience,Percent of teachers in first 3 years,Peer average: Percent of teachers in first 3 years,Federal revenues,Peer average: Federal revenues,State revenues,Peer average: State revenues,Local revenues,Peer average: Local revenues,Total revenues per pupil,Peer average: Total revenues per pupil,Equalization formula funding revenues,Peer average: Equalization formula funding revenues,Equalization formula funding amount from Prop 123,Peer average: Equalization formula funding amount from Prop 123,Prop 123 additional funding,Peer average: Prop 123 additional funding,Grant revenues,Peer average: Grant revenues,Donation and tax credit revenues,Peer average: Donation and tax credit revenues,Desegregation revenues,Number of peers receiving desegregation revenues,Small school adjustment revenues,Number of peers receiving small school adjustment revenues,Federal impact aid revenues,Number of peers receiving federal impact aid revenues,Voter-approved levy increase revenues,Number of peers receiving voter-approved levy increase revenues,Overall financial stress level,Change in number of district students (2015 through 2017),Financial stress level for change in number of district students,Spending exceeded operating/capital budgets (2015 through 2017),Financial stress level for spending exceeded operating/capital budgets,Spending increase election results  (2015 through 2017),Financial stress level for spending increase election results,"Operating reserve percentage, Trend (2015 through 2017)","Financial stress level for operating reserve percentage, Trend",Years of capital reserve held (2015 through 2017),Financial stress level for years of capital reserve held,Current financial and internal control status (2015 through 2017),Financial stress level for current financial and internal control status
Agua Fria Union High School District,2017,Maricopa,3,T-4,8,"4, 13, 19, and 29",Medium-large,Suburb,"7,721",4,52.5%,53.1%,9.9%,14.6%,4.7%,4.8%,7.9%,5.6%,$710,$837,Very Low,71,69,Very Low,$8.14,$6.01,Very High,128,157,Very Low,High,$3.16,$3.04,Comparable,Comparable,$3.72,$3.61,Comparable,"$1,324","$1,278",Comparable,Comparable,"$3,775","$3,991",$710,$837,"$1,046",$965,$339,$324,$345,$433,$568,$640,$401,$338,"$7,184","$7,528","$3,481",$890,$537,$406,$298,$258,$23,$146,"$4,339","$1,700","$11,523","$9,228",40%,33%,31%,27%,40%,34%,94%,93%,89%,87%,12%,16%,10%,11%,21.8,21.7,"$40,425","$49,138","$6,698","$8,138",8.1,10.3,33%,22%,$566,$781,"$5,627","$3,243","$4,869","$5,097","$11,062","$9,121","$5,355","$5,442",$243,$240,$49,$47,$612,$866,$94,$157,$91,1 of 15,$0,0 of 15,$0,3 of 15,"$1,825",13 of 15,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"6.5%, Increasing",Low,More than 3 years,Low,Compliant,Low
Aguila Elementary School District,2017,Maricopa,11,T-11,19,13,Very small,Rural,148,1,58.0%,50.5%,14.2%,13.3%,7.7%,2.6%,4.0%,0.2%,"$1,375","$3,137",No Measure,39,32,No Measure,$5.96,$6.96,No Measure,215,412,No Measure,No Measure,$3.11,$5.79,No Measure,No Measure,$0.75,$1.87,No Measure,$511,"$1,459",No Measure,No Measure,"$5,603","$8,613","$1,375","$3,137","$1,280","$2,644",$748,"$1,000",$256,$961,$381,$601,$18,$498,"$9,661","$17,454",$0,"$1,161",$210,$735,$14,$31,$756,$90,$980,"$2,017","$10,641","$19,471",25%,35%,39%,36%,21%,52%,95%,93%,N/A,N/A,37%,34%,14%,15%,14.8,14.8,"$47,114","$46,717","$4,634","$4,152",11.3,11.3,10%,16%,"$1,945","$2,908","$6,036","$5,692","$3,115","$13,343","$11,096","$21,943","$6,368","$9,932",$274,$315,$51,$57,"$3,081","$2,701",$92,$184,$0,0 of 54,$0,44 of 54,$0,5 of 54,$0,7 of 54,High,Steady,Low,Operating and capital,High,No election held,No Measure,"0.5%, Varying",High,Less than 1 year,High,Marginally compliant,Moderate
Ajo Unified School District,2017,Pima,6,T-9,5,4,Small,Town,419,2,53.8%,48.7%,16.7%,11.0%,6.0%,1.2%,4.3%,7.0%,"$1,306","$1,784",Very Low,60,44,Very Low,$3.38,$4.85,Very Low,256,348,Very Low,Very Low,$2.96,$3.70,Very Low,Very Low,$3.97,$2.60,Very High,"$1,921","$1,363",Very High,Very High,"$4,222","$5,470","$1,306","$1,784",$864,"$1,587",$469,$534,$92,$571,$342,$642,$545,$423,"$7,840","$11,011",$828,$437,$345,$479,$0,$179,$7,$45,"$1,180","$1,140","$9,020","$12,151",22%,31%,22%,31%,27%,44%,91%,93%,93%,85%,25%,24%,NR,13%,16.1,17.0,"$44,386","$44,553","$5,397","$5,512",14.4,12.8,21%,16%,"$1,056","$2,411","$6,132","$3,824","$2,524","$7,054","$9,712","$13,289","$6,370","$7,159",$284,$285,$56,$57,"$2,079","$1,876",$87,$246,$0,0 of 20,$0,4 of 20,$0,5 of 20,$0,15 of 20,Low,Increase,Low,No overspending,Low,No election held,No Measure,"9%, Increasing",Low,More than 3 years,Low,Compliant,Low
Alhambra Elementary School District,2017,Maricopa,7,T-1,15,29 and 30,Large,City,"12,524",14,56.4%,54.1%,8.9%,8.6%,7.5%,3.1%,8.2%,7.3%,$777,$796,Comparable,85,75,Comparable,$5.97,$6.23,Comparable,126,135,Low,Comparable,$3.33,$2.77,Very High,Very High,$7.67,$6.81,High,$971,$942,Comparable,High,"$4,939","$4,304",$777,$796,$756,$837,$659,$566,$272,$303,$717,$671,$642,$511,"$8,762","$7,988",$131,$499,$455,$357,$1,$361,$59,$168,$646,"$1,385","$9,408","$9,373",32%,25%,26%,22%,47%,37%,93%,94%,N/A,N/A,45%,44%,10%,10%,20.6,19.1,"$58,362","$52,696","$4,786","$4,542",10.4,10.3,14%,22%,"$1,698","$1,522","$4,630","$4,236","$2,234","$3,488","$8,562","$9,246","$5,055","$5,133",$236,$235,$44,$44,"$1,724","$1,543",$23,$45,$0,4 of 10,$0,0 of 10,$0,2 of 10,"$1,154",10 of 10,Low,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"4.3%, Increasing",Low,More than 3 years,Low,Compliant,Low
Alpine Elementary School District,2017,Apache,11,T-11,18,7,Very small,Rural,57,1,59.7%,50.5%,19.4%,9.7%,0.4%,7.9%,1.5%,1.4%,"$3,222","$3,137",No Measure,38,32,No Measure,$6.23,$6.96,No Measure,259,412,No Measure,No Measure,N/A,$5.79,No Measure,No Measure,$0.49,$1.87,No Measure,"$1,600","$1,459",No Measure,No Measure,"$9,876","$8,613","$3,222","$3,137","$1,611","$2,644",$62,"$1,000","$1,308",$961,$245,$601,$232,$498,"$16,556","$17,454",$31,"$1,161",$547,$735,$0,$31,$0,$90,$578,"$2,017","$17,134","$19,471",70%,36%,65%,37%,100%,61%,96%,94%,N/A,N/A,29%,26%,17%,14%,11.5,14.6,"$60,612","$49,194","$4,050","$5,175",21.0,14.0,0%,7%,$989,"$2,908","$10,903","$5,692","$4,446","$13,343","$16,338","$21,943","$15,409","$9,932",$284,$315,$58,$57,"$1,706","$2,701",$206,$184,$0,0 of 54,$0,44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"10.9%, Varying",Low,More than 3 years,Low,Compliant,Low
Altar Valley Elementary School District,2017,Pima,9,T-8,18,2 and 4,Medium,Rural,601,2,45.7%,50.0%,12.9%,12.6%,8.2%,9.2%,6.6%,4.8%,"$1,393","$1,060",Very High,48,58,Very High,$7.39,$6.71,High,183,153,Very High,Very High,$3.11,$3.04,Comparable,Comparable,$2.01,$2.95,Very Low,"$1,073","$1,037",Comparable,Low,"$4,909","$4,115","$1,393","$1,060","$1,353","$1,004",$878,$571,$987,$427,$711,$528,$513,$463,"$10,744","$8,168",$1,$917,$704,$314,$38,$77,$425,$148,"$1,168","$1,456","$11,912","$9,624",32%,36%,28%,37%,55%,61%,96%,94%,N/A,N/A,25%,26%,14%,14%,16.7,14.6,"$47,209","$49,194","$4,836","$5,175",10.6,14.0,20%,7%,"$2,374","$1,753","$5,134","$4,842","$3,665","$2,654","$11,173","$9,249","$6,787","$5,748",$238,$239,$43,$44,"$2,500","$2,064",$84,$69,$0,0 of 10,$0,0 of 10,$0,3 of 10,$707,8 of 10,Low,Large decrease,High,No overspending,Low,No election held,No Measure,"5.5%, Varying",Low,More than 3 years,Low,Compliant,Low
Amphitheater Unified School District,2017,Pima,2,T-4,3,"3, 9, and 11",Large,Suburb,"13,450",20,53.1%,53.2%,8.4%,13.9%,4.7%,5.6%,8.4%,5.9%,$694,$763,Low,57,67,Low,$6.04,$6.41,Low,189,148,Very High,Comparable,$2.97,$2.98,Comparable,Comparable,$3.48,$3.61,Comparable,"$1,400","$1,278",High,Comparable,"$4,374","$4,035",$694,$763,"$1,144",$941,$389,$348,$461,$383,$689,$622,$485,$501,"$8,236","$7,593","$2,042",$761,$411,$527,$321,$295,$66,$145,"$2,840","$1,728","$11,076","$9,321",38%,38%,41%,37%,53%,52%,93%,94%,86%,86%,22%,24%,16%,14%,17.2,18.8,"$42,859","$45,975","$5,523","$5,671",12.5,11.8,16%,16%,"$1,096",$896,"$2,479","$3,579","$5,779","$4,613","$9,354","$9,088","$5,400","$5,436",$234,$242,$45,$47,"$1,141",$943,$144,$98,$299,3 of 10,$0,0 of 10,$0,2 of 10,"$1,478",10 of 10,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"2%, Varying",High,More than 3 years,Low,Compliant,Low
Antelope Union High School District,2017,Yuma,6,T-10,11,4 and 13,Small,Rural,230,1,51.1%,48.7%,16.6%,14.3%,6.6%,6.7%,2.5%,2.2%,"$2,074","$1,784",Very High,46,44,Very High,$3.78,$4.85,Very Low,472,348,Very High,Low,$4.75,$3.70,Very High,Very High,$1.05,$1.93,Very Low,$830,"$1,267",Very Low,Very Low,"$6,399","$5,470","$2,074","$1,784","$1,783","$1,587",$820,$534,$843,$571,$317,$642,$280,$423,"$12,516","$11,011",$156,$437,$742,$479,$491,$179,$2,$45,"$1,391","$1,140","$13,907","$12,151",17%,17%,13%,18%,5%,21%,94%,91%,81%,84%,31%,26%,NR,11%,12.1,14.8,"$44,237","$43,276","$3,618","$5,503",16.8,11.5,16%,19%,"$1,882","$2,411","$1,045","$3,824","$11,237","$7,054","$14,164","$13,289","$9,022","$7,159",$303,$285,$67,$57,"$1,927","$1,876",$0,$246,$0,0 of 20,$0,4 of 20,$0,5 of 20,"$1,011",15 of 20,Moderate,Steady,Low,No overspending,Low,No election held,No Measure,"2.3%, Varying",Moderate,Less than 1 year,High,Marginally compliant,Moderate
Apache Elementary School District,2017,Cochise,11,N/A,20,14,Very small,Rural,2,1,54.9%,50.5%,22.4%,12.8%,0.0%,2.5%,7.0%,0.4%,"$24,152","$3,137",No Measure,1,32,No Measure,$14.09,$6.96,No Measure,975,412,No Measure,No Measure,N/A,$5.79,No Measure,No Measure,N/A,N/A,No Measure,N/A,N/A,No Measure,No Measure,"$59,142","$8,613","$24,152","$3,137","$13,727","$2,644",$0,"$1,000","$2,673",$961,"$7,532",$601,$475,$498,"$107,701","$17,454",$0,"$1,161",$887,$735,$2,$31,$0,$90,$889,"$2,017","$108,590","$19,471",Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,N/A,93%,N/A,N/A,N/A,44%,N/A,15%,N/A,11.2,N/A,"$48,132",N/A,"$4,375",N/A,11.5,N/A,6%,"$10,315","$2,908","$51,288","$5,692","$68,044","$13,343","$129,647","$21,943","$74,234","$9,932","$1,455",$315,$300,$57,"$10,657","$2,701","$1,728",$184,$0,0 of 54,"$34,561",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"23%, Increasing",Low,1 to 3 years,Moderate,Not assessed,No Measure
Apache Junction Unified School District,2017,Pinal,3,T-3,3,8 and 16,Medium-large,Suburb,"3,633",5,54.1%,53.1%,9.7%,12.4%,4.5%,6.6%,8.7%,4.0%,$728,$837,Low,62,69,Low,$5.86,$6.01,Comparable,160,157,Comparable,Comparable,$2.72,$3.04,Low,Low,$3.26,$4.28,Very Low,$870,"$1,207",Very Low,Very Low,"$4,080","$3,991",$728,$837,$938,$965,$340,$324,$496,$433,$659,$640,$301,$338,"$7,542","$7,528",$23,$890,$258,$406,$383,$258,$84,$146,$748,"$1,700","$8,290","$9,228",33%,38%,29%,37%,50%,52%,93%,94%,80%,86%,22%,24%,17%,14%,18.4,18.8,"$42,318","$45,975","$4,461","$5,671",11.9,11.8,16%,16%,"$1,123",$781,"$3,058","$3,243","$5,221","$5,097","$9,402","$9,121","$5,805","$5,442",$255,$240,$48,$47,"$1,127",$866,$98,$157,$0,1 of 15,$0,0 of 15,$0,3 of 15,"$1,046",13 of 15,Moderate,Large decrease,High,No overspending,Low,Voter-rejected,High,"5.5%, Increasing",Low,More than 3 years,Low,Compliant,Low
