State,Salary
Alabama,46000
Alaska,50000
Arizona,43000
Arkansas,42000
California,48200
Colorado,46000
Connecticut,55000
Delaware,44000
District of Columbia,78000
Florida,40000
Georgia,42000
Hawaii,48000
Idaho,45000
Illinois,50000
Indiana,45000
Iowa,43000
Kansas,45000
Kentucky,44000
Louisiana,43000
Maine,43000
Maryland,55000
Massachusetts,57000
Michigan,48000
Minnesota,50000
Mississippi,37000
Missouri,45000
Montana,40000
Nebraska,45000
Nevada,45000
New Hampshire,50000
New Jersey,56000
New Mexico,38480
New York,50000
North Carolina,42900
North Dakota,46000
Ohio,46002
Oklahoma,45000
Oregon,45000
Pennsylvania,49088
Rhode Island,50000
South Carolina,45000
South Dakota,40000
Tennessee,42000
Texas,45000
Utah,45000
Vermont,50000
Virginia,54000
Washington,54000
West Virginia,39185
Wisconsin,45000
Wyoming,45000
