Source: ACS 1-Year Estimates - Public Use Microdata Sample 2005
Weight used: WGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Connecticut, Colorado, Delaware, District of Columbia, Georgia, Florida, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Louisiana, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nevada, Nebraska, New Hampshire, New Jersey, New Mexico, New York, North Dakota, North Carolina, Ohio, Oklahoma, Pennsylvania, Oregon, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Vermont, Utah, Virginia, West Virginia, Washington, Wisconsin, Wyoming"
"Selected Geographies","PUMS Monthly mortgage payment"
"Alabama","267.3391663448112"
"Alaska","458.8508614021009"
"Arizona","420.6199523005217"
"Arkansas","226.42743068540523"
"California","642.3791079909784"
"Colorado","552.6663813262272"
"Connecticut","654.1098603180811"
"Delaware","414.40669969961164"
"District of Columbia","421.23490825025283"
"Florida","396.8712981794792"
"Georgia","414.2821412480333"
"Hawaii","523.7216651140702"
"Idaho","369.825208734209"
"Illinois","489.0426311684442"
"Indiana","350.32425635610906"
"Iowa","304.3595527986836"
"Kansas","342.46917557231563"
"Kentucky","283.1820172282917"
"Louisiana","253.89387494847685"
"Maine","284.8245746409373"
"Maryland","636.5086425782752"
"Massachusetts","580.882942300216"
"Michigan","407.41239171620595"
"Minnesota","518.6016242328587"
"Mississippi","232.36367604761665"
"Missouri","336.9607318871063"
"Montana","275.51190191191034"
"Nebraska","327.16709082543287"
"Nevada","514.3074547643977"
"New Hampshire","490.27853333219184"
"New Jersey","662.8223082650176"
"New Mexico","305.13496163990163"
"New York","429.3132823789898"
"North Carolina","337.39721400942204"
"North Dakota","235.20022566149473"
"Ohio","364.6549617446049"
"Oklahoma","251.3194736279448"
"Oregon","417.3573141363478"
"Pennsylvania","357.23425035104765"
"Rhode Island","475.9703831702465"
"South Carolina","305.8840372671451"
"South Dakota","262.01066110831107"
"Tennessee","319.8344448633808"
"Texas","336.35174713646825"
"Utah","471.50101879000664"
"Vermont","317.84163865247996"
"Virginia","561.4465075645693"
"Washington","509.5437223291318"
"West Virginia","195.4110910421144"
"Wisconsin","375.97288209697905"
"Wyoming","290.10926520545394"
