Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,159.0106437,315.9828405
Alaska,278.1995701,521.3928647
Arizona,251.3256439,457.189114
Arkansas,167.898212,260.1960893
California,489.9151713,700.6352853
Colorado,275.1024129,598.769152
Connecticut,299.2277184,750.3279634
Delaware,204.271877,517.5653117
District of Columbia,625.3523461,560.9916587
Florida,240.2663066,419.0815726
Georgia,233.2697179,455.9642873
Hawaii,468.9709111,640.5647087
Idaho,175.6700332,425.268706
Illinois,255.906297,541.9607312
Indiana,179.5150863,367.7005518
Iowa,161.7570918,355.499886
Kansas,198.5621841,382.8645105
Kentucky,163.4100394,306.4388274
Louisiana,195.78735,304.0986348
Maine,143.3905599,339.4191912
Maryland,335.3119472,771.4990878
Massachusetts,348.44265,643.2468894
Michigan,172.0843281,388.4608774
Minnesota,189.6820055,555.9578595
Mississippi,156.0565212,257.7250762
Missouri,181.3058673,375.1809499
Montana,152.2543881,361.0970671
Nebraska,197.6216388,361.6740134
Nevada,361.7094037,512.1837167
New Hampshire,225.6014901,571.6533311
New Jersey,341.5788286,774.8817407
New Mexico,187.2267363,360.0198949
New York,444.2459883,495.0906914
North Carolina,201.4529684,391.9881795
North Dakota,165.3189982,277.4166219
Ohio,192.5734993,385.5560776
Oklahoma,175.8495005,304.8795544
Oregon,290.558713,495.7382748
Pennsylvania,205.4633641,415.8537191
Rhode Island,290.4817033,533.6493129
South Carolina,180.9989857,340.149925
South Dakota,161.8079916,327.9977804
Tennessee,188.2352169,348.8499126
Texas,259.4974156,379.7080943
Utah,221.0808416,573.6950788
Vermont,189.9845521,369.7761374
Virginia,303.4202395,653.1901407
Washington,316.1669234,604.2088539
West Virginia,110.2104809,217.5818992
Wisconsin,199.1012761,414.4326779
Wyoming,170.2819479,371.3062459
