Source: ACS 1-Year Estimates-Public Use Microdata Sample 2006
Weight used: WGTP
"Universe: selected geographies: Alabama, Alaska, Wyoming, Wisconsin, Washington, West Virginia, Virginia, Vermont, Utah, Texas, South Carolina, South Dakota, Tennessee, Rhode Island, Pennsylvania, Oregon, Oklahoma, Ohio, North Dakota, New York, North Carolina, New Mexico, New Jersey, Nevada, New Hampshire, Nebraska, Montana, Missouri, Iowa, Kansas, Kentucky, Maine, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Indiana, Illinois, Idaho, Hawaii, Georgia, Florida, District of Columbia, Connecticut, Delaware, Colorado, Arizona, Arkansas, California"
"Selected Geographies","Gross rent (monthly amount)"
"Alabama","128.65996126321537"
"Alaska","242.04751075599262"
"Arizona","213.8965339075926"
"Arkansas","145.62869267562564"
"California","414.55369459272225"
"Colorado","224.66117786310366"
"Connecticut","260.6026748123582"
"Delaware","172.97637815841574"
"District of Columbia","471.9342311770944"
"Florida","219.3141868244439"
"Georgia","203.0796906081342"
"Hawaii","380.12559272510555"
"Idaho","155.2247853266916"
"Illinois","212.50476725484316"
"Indiana","153.3025546482729"
"Iowa","141.24309156199337"
"Kansas","166.7385453428094"
"Kentucky","132.38241234610788"
"Louisiana","154.41322496506703"
"Maine","132.21141436764646"
"Maryland","266.3630608988638"
"Massachusetts","303.033095650094"
"Michigan","145.1094686564889"
"Minnesota","151.3649441462531"
"Mississippi","127.74335589585957"
"Missouri","152.77848299367707"
"Montana","141.12119977781893"
"Nebraska","178.55326625964565"
"Nevada","313.82208216343884"
"New Hampshire","203.65637630543876"
"New Jersey","294.74298041167"
"New Mexico","154.42553634463442"
"New York","377.18441345788324"
"North Carolina","171.59320044564117"
"North Dakota","147.81140588047506"
"Ohio","168.8933359707422"
"Oklahoma","152.46547066845173"
"Oregon","237.41629396193116"
"Pennsylvania","169.61472038802657"
"Rhode Island","274.684632563271"
"South Carolina","147.6421858108245"
"South Dakota","139.217344282677"
"Tennessee","156.5241142422389"
"Texas","219.09295495245487"
"Utah","181.93241483065987"
"Vermont","159.67709955227642"
"Virginia","236.28123935061708"
"Washington","257.0539557232805"
"West Virginia","95.1304280943086"
"Wisconsin","168.92611681678102"
"Wyoming","151.37539734323764"
