State,Median Annual Mortgage Payment
Alabama,13764
Alaska,22884
Arizona,16728
Arkansas,12852
California,27384
Colorado,20172
Connecticut,25152
Delaware,18756
Florida,17592
Georgia,16596
Hawaii,28200
Idaho,14736
Illinois,20016
Indiana,13560
Iowa,14808
Kansas,16188
Kentucky,13896
Louisiana,15204
Maine,16572
Maryland,23844
Massachusetts,25980
Michigan,15348
Minnesota,18564
Mississippi,13608
Missouri,15048
Montana,16632
Nebraska,16224
Nevada,17628
New Hampshire,23004
New Jersey,29268
New Mexico,15144
New York,25368
North Carolina,15480
North Dakota,16668
Ohio,15228
Oklahoma,14568
Oregon,19764
Pennsylvania,17688
Rhode Island,22056
South Carolina,14724
South Dakota,15576
Tennessee,14688
Texas,18588
Utah,17964
Vermont,19128
Virginia,21204
Washington,21912
West Virginia,12276
Wisconsin,17016
Wyoming,17136
