State,College graduate starting salary,Teacher Starting Salary,Teacher Average vs Overall Average Salary,Annual Rent,Rent to Salary Ratio,Average Mortgage Payment to Salary Ratio,code
Alabama,46434,38477,1.1,11976,0.24,0.87,AL
Alaska,52769,46785,1.39,20976,0.3,0.92,AK
Arizona,48159,34068,1.13,16272,0.33,0.97,AZ
Arkansas,44101,33973,1.2,11436,0.23,0.89,AR
California,56010,44782,1.67,30216,0.37,1.1,CA
Colorado,48901,32980,1.15,23124,0.44,1.15,CO
Connecticut,60338,45280,1.35,21636,0.29,0.86,CT
Delaware,51156,41415,1.4,17220,0.28,0.92,DE
Florida,43371,37405,0.62,19080,0.4,1.08,FL
Georgia,49989,34872,1.41,15144,0.27,0.91,GA
Hawaii,46590,45963,1.38,29772,0.51,1.06,HI
Idaho,40843,33743,1.03,14856,0.3,1.01,ID
Illinois,52080,38820,1.46,17556,0.27,0.88,IL
Indiana,45632,35241,1.01,13356,0.26,0.98,IN
Iowa,46382,35766,1.27,12684,0.22,0.86,IA
Kansas,45639,34883,1.16,12612,0.25,0.78,KS
Kentucky,44249,36494,1.18,13008,0.25,0.94,KY
Louisiana,47115,40128,1.14,14940,0.3,0.98,LA
Maine,41612,33876,1.25,17592,0.33,1.06,ME
Maryland,60287,44675,1.62,21684,0.31,0.91,MD
Massachusetts,57029,44726,1.46,27024,0.34,1.04,MA
Michigan,48622,36234,1.09,13320,0.22,0.87,MI
Minnesota,51329,37644,1.2,17388,0.3,0.94,MN
Mississippi,40952,34780,0.9,12660,0.28,0.93,MS
Missouri,44482,31842,1.33,12564,0.25,0.83,MO
Montana,38283,30036,1.17,14808,0.28,0.89,MT
Nebraska,44255,33854,1.36,15036,0.28,0.93,NE
Nevada,45840,37973,1.21,17076,0.31,0.97,NV
New Hampshire,51767,36845,1.29,20976,0.36,0.91,NH
New Jersey,61128,51179,1.4,24744,0.35,0.85,NJ
New Mexico,43257,34544,0.84,14400,0.31,0.95,NM
New York,54214,44935,2.19,24600,0.29,0.97,NY
North Carolina,45377,37514,1.02,14496,0.28,0.94,NC
North Dakota,43555,38032,1.23,15480,0.29,0.93,ND
Ohio,49281,35249,1.26,13356,0.23,0.88,OH
Oklahoma,42732,31919,1.01,11400,0.25,0.78,OK
Oregon,43452,35534,1.4,20484,0.32,1.04,OR
Pennsylvania,50170,44144,1.5,14904,0.22,0.84,PA
Rhode Island,51769,41481,1.36,20700,0.31,0.94,RI
South Carolina,43712,33057,1.0,14508,0.29,0.99,SC
South Dakota,40472,37419,1.06,14556,0.31,0.93,SD
Tennessee,44289,36402,1.27,13836,0.27,0.94,TN
Texas,51701,40725,1.27,17460,0.33,0.94,TX
Utah,45046,35722,1.1,18312,0.37,1.02,UT
Vermont,41109,38483,1.35,19188,0.32,1.0,VT
Virginia,55509,39398,1.04,17424,0.34,0.82,VA
Washington,53802,40426,1.03,22056,0.4,1.01,WA
West Virginia,42183,33684,0.85,10656,0.23,0.87,WV
Wisconsin,47339,36983,1.31,13692,0.27,0.8,WI
Wyoming,45519,45207,1.3,13788,0.24,0.8,WY
