a_median,a_pct10,a_pct90,h_median,h_pct10,h_pct90,occ_code,occ_title,tot_emp,year,job,state,monthly rent,monthly mortgage
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Alabama,111.0892519,267.3391663
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Alaska,244.5242588,458.8508614
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Arizona,194.7916067,420.6199523
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Arkansas,114.3899552,226.4274307
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,California,385.2692788,642.379108
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Colorado,219.8878622,552.6663813
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Connecticut,225.6301148,654.1098603
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Delaware,172.4070036,414.4066997
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,District of Columbia,462.2194047,421.2349083
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Florida,205.6823424,396.8712982
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Georgia,188.7291087,414.2821412
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Hawaii,348.036211,523.7216651
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Idaho,137.5290755,369.8252087
