CONAME,DIST,DISTNAME,salary_2018,salary_2017,salary_2016
Bergen,3710,Northern Valley Regional,"$108,867 ","$105,650","$95,418"
Middlesex,1290,Edison Township,"$96,650 ","$92,432","$92,194"
Atlantic,110,Atlantic City,"$96,488 ","$88,318","$94,135"
Passaic,3995,Passaic County Vocational,"$95,549 ","$95,303","$89,522"
Atlantic,3020,Margate City,"$93,275 ","$91,045","$89,766"
Atlantic,570,Brigantine City,"$91,899 ","$89,900","$84,212"
Mercer,3103,Mercer Co Special Service,"$89,925 ","$88,275","$85,175"
Cape May,3780,Ocean City,"$89,898 ","$89,036","$88,354"
Essex,1210,East Orange,"$89,853 ","$71,673","$71,673"
Bergen,1230,East Rutherford Borough,"$89,662 ","$82,480","$90,600"
Bergen,3960,Pascack Valley Regional,"$89,250 ","$89,000","$89,213"
Cape May,5060,Stone Harbor Borough,"$88,616 ","$75,084","$86,776"
Bergen,1860,Hackensack City,"$88,610 ","$89,603","$82,675"
Essex,5680,West Orange Town,"$88,579 ","$78,694","$80,897"
Sussex,5435,Wallkill Valley Regional,"$88,003 ","$88,355","$88,100"
Atlantic,5350,Ventnor City,"$87,950 ","$86,950","$82,196"
Atlantic,2910,Mainland Regional,"$87,851 ","$87,203","$86,230"
Bergen,930,Closter Borough,"$87,760 ","$84,635","$87,377"
Sussex,2165,High Point Regional,"$87,639 ","$86,681","$83,537"
Bergen,745,Carlstadt-East Rutherford,"$87,502 ","$74,354","$83,874"
Burlington,4050,Pemberton Township,"$86,119 ","$84,867","$83,800"
Essex,3190,Millburn Township,"$85,868 ","$88,050","$85,550"
Monmouth,1650,Freehold Regional,"$85,347 ","$84,075","$83,325"
Atlantic,125,Atlantic Co Special Serv,"$85,326 ","$84,226","$83,226"
Essex,2730,Livingston Township,"$85,235 ","$82,857","$78,880"
Morris,3460,Mountain Lakes Borough,"$84,692 ","$83,192","$80,442"
Bergen,4430,River Vale Township,"$83,980 ","$78,248","$78,270"
Cape May,2820,Lower Cape May Regional,"$83,928 ","$81,354","$78,785"
Sussex,2240,Hopatcong,"$83,685 ","$81,935","$72,485"
Hudson,7830,Soaring Heights,"$83,460 ","$72,460","$55,900"
Bergen,4390,Ridgewood Village,"$83,425 ","$75,903","$78,318"
Cape May,170,Avalon Borough,"$83,246 ","$82,686","$77,676"
Sussex,2465,Kittatinny Regional,"$83,040 ","$84,540","$80,370"
Bergen,5150,Teaneck Township,"$83,000 ","$80,000","$81,583"
Atlantic,590,Buena Regional,"$82,896 ","$81,696","$80,496"
Bergen,4310,Ramsey Borough,"$82,655 ","$75,490","$75,490"
Bergen,3850,Old Tappan Borough,"$82,605 ","$82,190","$75,848"
Morris,2460,Kinnelon Borough,"$82,527 ","$75,655","$75,655"
Bergen,3700,Northern Highlands Reg,"$82,445 ","$79,955","$76,643"
Mercer,2280,Hopewell Valley Regional,"$82,152 ","$79,216","$75,717"
Morris,3370,Morris Hills Regional,"$82,140 ","$82,140","$82,030"
Bergen,290,Bergen County Vocational,"$81,938 ","$81,036","$80,709"
Bergen,4470,Rochelle Park Township,"$81,690 ","$80,520","$81,860"
Mercer,4255,Princeton,"$81,583 ","$78,923","$79,471"
Bergen,2200,Ho Ho Kus Borough,"$81,537 ","$78,901","$75,265"
Bergen,4405,River Dell Regional,"$81,514 ","$88,096","$84,103"
Atlantic,1690,Galloway Township,"$80,910 ","$79,710","$68,623"
Union,1320,Elizabeth City,"$80,902 ","$78,348","$75,410"
Burlington,2610,Lenape Regional,"$80,717 ","$79,683","$76,954"
Bergen,4380,Ridgefield Park Township,"$80,384 ","$78,309","$72,691"
Ocean,4950,Southern Regional,"$80,342 ","$79,843","$77,651"
Somerset,5550,Watchung Hills Regional,"$79,270 ","$73,693","$72,165"
Sussex,5360,Vernon Township,"$79,135 ","$79,135","$78,090"
Sussex,4960,Sparta Township,"$79,115 ","$77,820","$73,513"
Camden,1255,Eastern Camden County Reg,"$78,895 ","$75,940","$73,851"
Bergen,285,Bergen Co Special Service,"$78,852 ","$79,050","$78,457"
