Selected Geographies,PUMS Monthly mortgage payment,PUMS Monthly mortgage payment
 -> Total,21791.74949,23170.08601
Alabama,298.3549985,298.3549985
Alaska,506.172887,506.172887
Arizona,502.6816858,502.6816858
Arkansas,251.5626872,251.5626872
California,757.1244781,757.1244781
Colorado,605.4802859,605.4802859
Connecticut,729.8681907,729.8681907
Delaware,510.8384665,510.8384665
District of Columbia,571.4864707,571.4864707
Florida,479.1781261,479.1781261
Georgia,468.647574,468.647574
Hawaii,633.9045863,633.9045863
Idaho,433.9753226,433.9753226
Illinois,557.1649569,557.1649569
Indiana,377.0746233,377.0746233
Iowa,342.8899599,342.8899599
Kansas,381.3345017,381.3345017
Kentucky,299.4850603,299.4850603
Louisiana,284.2942221,284.2942221
Maine,343.3534028,343.3534028
Maryland,766.1988367,766.1988367
Massachusetts,659.5770124,659.5770124
Michigan,434.8893454,434.8893454
Minnesota,571.2616442,571.2616442
Mississippi,262.1073887,262.1073887
Missouri,383.358002,383.358002
Montana,332.7717075,332.7717075
Nebraska,367.6449631,367.6449631
Nevada,607.2119758,607.2119758
New Hampshire,582.0606437,582.0606437
New Jersey,762.9789187,762.9789187
New Mexico,350.6872433,350.6872433
New York,487.5814324,487.5814324
North Carolina,381.0221274,381.0221274
North Dakota,250.8586868,250.8586868
Ohio,399.2855334,399.2855334
Oklahoma,289.8544224,289.8544224
Oregon,491.724359,491.724359
Pennsylvania,403.2479355,403.2479355
Rhode Island,538.4926222,538.4926222
South Carolina,345.268276,345.268276
South Dakota,294.2025324,294.2025324
Tennessee,356.8948549,356.8948549
Texas,370.2265829,370.2265829
Utah,546.4657974,546.4657974
Vermont,353.2876309,353.2876309
Virginia,652.0726422,652.0726422
Washington,215.6438863,607.0603511
West Virginia,,215.6438863
Wisconsin,,412.5603941
Wyoming,,358.7157759
