Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,182.1332449,284.5064266
Alaska,322.9515186,454.9625427
Arizona,290.0252673,366.5987728
Arkansas,182.2581252,249.1230424
California,546.4063051,616.1841375
Colorado,320.1340948,543.644573
Connecticut,320.9299422,680.8652485
Delaware,223.446559,462.0765749
District of Columbia,747.9212377,530.6451357
Florida,280.9361498,349.395654
Georgia,274.4192253,391.805812
Hawaii,548.1145742,608.0660644
Idaho,201.0749255,385.5302784
Illinois,286.3763918,479.145066
Indiana,205.7252253,334.7775096
Iowa,184.6645327,334.2731491
Kansas,230.0696912,355.8620776
Kentucky,184.6779841,294.5406866
Louisiana,215.8112264,300.7018178
Maine,176.9925035,303.345272
Maryland,367.9524249,705.2541855
Massachusetts,382.8685753,611.2963459
Michigan,193.3332105,333.9157526
Minnesota,218.2403939,505.8154912
Mississippi,179.6847861,240.1257349
Missouri,211.7352629,346.6891699
Montana,195.6167422,338.5285538
Nebraska,229.5603206,369.2517202
Nevada,382.5146697,368.8111339
New Hampshire,250.8047708,514.6748624
New Jersey,382.2367642,708.1484805
New Mexico,201.0323444,332.2128569
New York,487.468453,472.7311716
North Carolina,235.3830689,355.1643474
North Dakota,242.3981456,281.3012411
Ohio,217.9257337,349.9501234
Oklahoma,206.8498827,295.0031111
Oregon,329.5745324,452.2383542
Pennsylvania,231.8970766,395.1060367
Rhode Island,314.8623527,491.3099957
South Carolina,198.0379075,325.8942164
South Dakota,182.9779691,295.4978377
Tennessee,215.7119104,329.5538406
Texas,300.0965705,360.988319
Utah,248.5048889,513.2450614
Vermont,193.4489066,337.0379643
Virginia,354.2236799,593.2328308
Washington,358.5160786,551.6868873
West Virginia,127.3785694,214.8429222
Wisconsin,218.1940329,372.8866721
Wyoming,197.6520712,371.7545419
