Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment,PUMS Monthly mortgage payment.1
Alabama,128.6599613,20486.6347,
Alaska,242.0475108,288.004046,
Arizona,213.8965339,447.30102300000004,
Arkansas,145.6286927,476.80681,
California,414.55369460000003,240.71342099999998,
Colorado,224.6611779,711.791832,
Connecticut,260.6026748,592.0785400000001,
Delaware,172.9763782,692.0073629999999,
District of Columbia,471.9342312,440.183093,
Florida,219.31418680000002,529.437504,
Georgia,203.0796906,439.612753,
Hawaii,380.12559269999997,440.92436299999997,
Idaho,155.2247853,594.062729,
Illinois,212.5047673,393.889781,
Indiana,153.30255459999998,524.988375,
Iowa,141.24309159999999,366.906913,
Kansas,166.73854530000003,327.87408700000003,
Kentucky,132.3824123,363.469194,
Louisiana,154.413225,288.942518,
Maine,132.2114144,261.996122,
Maryland,266.3630609,324.250383,
Massachusetts,303.0330957,700.8892440000001,
Michigan,145.10946869999998,619.413401,
Minnesota,151.36494409999997,420.850671,
Mississippi,127.74335590000001,548.8042690000001,
Missouri,152.778483,242.97837400000003,
Montana,141.12119980000003,362.571178,
Nebraska,178.55326630000002,312.482772,
Nevada,313.82208219999995,344.9361,
New Hampshire,203.6563763,578.6286709999999,
New Jersey,294.74298039999996,536.733758,
New Mexico,154.4255363,712.9796690000001,
New York,377.1844135,330.24201800000003,
North Carolina,171.5932004,459.488824,
North Dakota,147.8114059,355.61016,
Ohio,168.893336,249.88869100000002,
Oklahoma,152.4654707,382.399627,
Oregon,237.416294,265.047486,
Pennsylvania,169.6147204,466.16790199999997,
Rhode Island,274.68463260000004,377.098391,
South Carolina,147.6421858,487.71397800000005,
South Dakota,139.2173443,325.56415400000003,
Tennessee,156.52411419999999,291.519065,
Texas,219.092955,335.517689,
Utah,181.9324148,353.743587,
Vermont,159.6770996,510.832362,
Virginia,236.28123939999998,363.22244700000005,
Washington,257.0539557,607.6035889999999,
West Virginia,95.13042809,198.465738,
Wisconsin,168.92611680000002,,
Wyoming,151.37539730000003,,
 -> Total,,21791.749490000002,23170.08601
Alabama,,298.35499849999997,298.35499849999997
Alaska,,506.172887,506.172887
Arizona,,502.6816858,502.6816858
Arkansas,,251.5626872,251.5626872
California,,757.1244781,757.1244781
Colorado,,605.4802859,605.4802859
Connecticut,,729.8681907,729.8681907
Delaware,,510.8384665,510.8384665
District of Columbia,,571.4864707,571.4864707
Florida,,479.1781261,479.1781261
Georgia,,468.647574,468.647574
Hawaii,,633.9045863,633.9045863
Idaho,,433.97532259999997,433.97532259999997
Illinois,,557.1649569,557.1649569
Indiana,,377.0746233,377.0746233
Iowa,,342.8899599,342.8899599
Kansas,,381.3345017,381.3345017
Kentucky,,299.4850603,299.4850603
Louisiana,,284.2942221,284.2942221
Maine,,343.35340279999997,343.35340279999997
Maryland,,766.1988367,766.1988367
Massachusetts,,659.5770124,659.5770124
Michigan,,434.88934539999997,434.88934539999997
Minnesota,,571.2616442000001,571.2616442000001
Mississippi,,262.1073887,262.1073887
Missouri,,383.358002,383.358002
Montana,,332.7717075,332.7717075
Nebraska,,367.6449631,367.6449631
Nevada,,607.2119757999999,607.2119757999999
New Hampshire,,582.0606437000001,582.0606437000001
New Jersey,,762.9789187000001,762.9789187000001
New Mexico,,350.68724330000003,350.68724330000003
New York,,487.5814324,487.5814324
North Carolina,,381.0221274,381.0221274
North Dakota,,250.85868680000002,250.85868680000002
