1,state,monthly rent,monthly mortgage,year
2,Alabama,111.0892519,267.3391663,2005
3,Alaska,244.5242588,458.8508614,2005
4,Arizona,194.7916067,420.6199523,2005
5,Arkansas,114.3899552,226.4274307,2005
6,California,385.2692788,642.379108,2005
7,Colorado,219.8878622,552.6663813,2005
8,Connecticut,225.6301148,654.1098603,2005
9,Delaware,172.4070036,414.4066997,2005
10,District of Columbia,462.2194047,421.2349083,2005
11,Florida,205.6823424,396.8712982,2005
12,Georgia,188.7291087,414.2821412,2005
13,Hawaii,348.036211,523.7216651,2005
14,Idaho,137.5290755,369.8252087,2005
15,Illinois,196.5915163,489.0426312,2005
16,Indiana,141.5059493,350.3242564,2005
17,Iowa,120.0724922,304.3595528,2005
18,Kansas,145.584708,342.4691756,2005
19,Kentucky,113.8319335,283.1820172,2005
20,Louisiana,126.1349264,253.8938749,2005
21,Maine,129.5054539,284.8245746,2005
22,Maryland,242.0786214,636.5086426,2005
23,Massachusetts,285.8527399,580.8829423,2005
24,Michigan,139.8788102,407.4123917,2005
25,Minnesota,155.0544967,518.6016242,2005
26,Mississippi,105.7812676,232.363676,2005
27,Missouri,131.7423112,336.9607319,2005
28,Montana,131.7908258,275.5119019,2005
29,Nebraska,144.2831864,327.1670908,2005
30,Nevada,286.8578391,514.3074548,2005
31,New Hampshire,186.1365135,490.2785333,2005
32,New Jersey,273.7429557,662.8223083,2005
33,New Mexico,144.1694958,305.1349616,2005
34,New York,346.1386742,429.3132824,2005
35,North Carolina,155.0519406,337.397214,2005
36,North Dakota,124.1524976,235.2002257,2005
37,Ohio,151.2352454,364.6549617,2005
38,Oklahoma,130.9976562,251.3194736,2005
39,Oregon,226.5156726,417.3573141,2005
40,Pennsylvania,153.0672322,357.2342504,2005
41,Rhode Island,244.1023484,475.9703832,2005
42,South Carolina,143.5298988,305.8840373,2005
43,South Dakota,112.4289558,262.0106611,2005
44,Tennessee,139.1449164,319.8344449,2005
45,Texas,195.8577886,336.3517471,2005
46,Utah,174.511713,471.5010188,2005
