,state,monthly rent,monthly mortgage
1,Alabama,128.6599613,20486.6347
2,Alaska,242.0475108,288.004046
3,Arizona,213.8965339,447.30102300000004
4,Arkansas,145.6286927,476.80681
5,California,414.55369460000003,240.71342099999998
6,Colorado,224.6611779,711.791832
7,Connecticut,260.6026748,592.0785400000001
8,Delaware,172.9763782,692.0073629999999
9,District of Columbia,471.9342312,440.183093
10,Florida,219.31418680000002,529.437504
11,Georgia,203.0796906,439.612753
12,Hawaii,380.12559269999997,440.92436299999997
13,Idaho,155.2247853,594.062729
14,Illinois,212.5047673,393.889781
15,Indiana,153.30255459999998,524.988375
16,Iowa,141.24309159999999,366.906913
17,Kansas,166.73854530000003,327.87408700000003
18,Kentucky,132.3824123,363.469194
19,Louisiana,154.413225,288.942518
20,Maine,132.2114144,261.996122
21,Maryland,266.3630609,324.250383
22,Massachusetts,303.0330957,700.8892440000001
23,Michigan,145.10946869999998,619.413401
24,Minnesota,151.36494409999997,420.850671
25,Mississippi,127.74335590000001,548.8042690000001
26,Missouri,152.778483,242.97837400000003
27,Montana,141.12119980000003,362.571178
28,Nebraska,178.55326630000002,312.482772
29,Nevada,313.82208219999995,344.9361
30,New Hampshire,203.6563763,578.6286709999999
31,New Jersey,294.74298039999996,536.733758
32,New Mexico,154.4255363,712.9796690000001
33,New York,377.1844135,330.24201800000003
34,North Carolina,171.5932004,459.488824
35,North Dakota,147.8114059,355.61016
36,Ohio,168.893336,249.88869100000002
37,Oklahoma,152.4654707,382.399627
38,Oregon,237.416294,265.047486
39,Pennsylvania,169.6147204,466.16790199999997
40,Rhode Island,274.68463260000004,377.098391
41,South Carolina,147.6421858,487.71397800000005
42,South Dakota,139.2173443,325.56415400000003
43,Tennessee,156.52411419999999,291.519065
44,Texas,219.092955,335.517689
45,Utah,181.9324148,353.743587
46,Vermont,159.6770996,510.832362
47,Virginia,236.28123939999998,363.22244700000005
48,Washington,257.0539557,607.6035889999999
49,West Virginia,95.13042809,198.465738
50,Wisconsin,168.92611680000002,
51,Wyoming,151.37539730000003,
52, -> Total,,21791.749490000002
53,Alabama,,298.35499849999997
54,Alaska,,506.172887
55,Arizona,,502.6816858
56,Arkansas,,251.5626872
57,California,,757.1244781
58,Colorado,,605.4802859
59,Connecticut,,729.8681907
60,Delaware,,510.8384665
61,District of Columbia,,571.4864707
62,Florida,,479.1781261
63,Georgia,,468.647574
64,Hawaii,,633.9045863
65,Idaho,,433.97532259999997
66,Illinois,,557.1649569
67,Indiana,,377.0746233
68,Iowa,,342.8899599
69,Kansas,,381.3345017
70,Kentucky,,299.4850603
71,Louisiana,,284.2942221
72,Maine,,343.35340279999997
73,Maryland,,766.1988367
74,Massachusetts,,659.5770124
75,Michigan,,434.88934539999997
76,Minnesota,,571.2616442000001
77,Mississippi,,262.1073887
78,Missouri,,383.358002
79,Montana,,332.7717075
80,Nebraska,,367.6449631
81,Nevada,,607.2119757999999
82,New Hampshire,,582.0606437000001
83,New Jersey,,762.9789187000001
84,New Mexico,,350.68724330000003
85,New York,,487.5814324
86,North Carolina,,381.0221274
87,North Dakota,,250.85868680000002
88,Ohio,,399.28553339999996
89,Oklahoma,,289.8544224
90,Oregon,,491.724359
91,Pennsylvania,,403.2479355
92,Rhode Island,,538.4926222
93,South Carolina,,345.26827599999996
94,South Dakota,,294.20253239999994
95,Tennessee,,356.8948549
96,Texas,,370.2265829
97,Utah,,546.4657973999999
98,Vermont,,353.2876309
99,Virginia,,652.0726422
100,Washington,,215.6438863
101,West Virginia,,
102,Wisconsin,,
103,Wyoming,,
104,Alabama,144.88826709999998,267.33916630000004
105,Alaska,268.035603,458.8508614
106,Arizona,234.4480029,420.6199523
107,Arkansas,163.0027747,226.4274307
108,California,466.10145199999994,642.379108
109,Colorado,255.1615497,552.6663812999999
110,Connecticut,284.3752654,654.1098602999999
111,Delaware,202.8012149,414.4066997
112,District of Columbia,557.7063915,421.23490830000003
113,Florida,236.1028787,396.8712982
114,Georgia,216.4938139,414.2821412
115,Hawaii,439.84869800000007,523.7216651000001
116,Idaho,177.3584062,369.82520869999996
117,Illinois,233.7065063,489.0426312
118,Indiana,165.430279,350.32425639999997
119,Iowa,150.91665790000002,304.3595528
120,Kansas,184.8379295,342.4691756
121,Kentucky,147.5531339,283.18201719999996
122,Louisiana,177.5981183,253.8938749
123,Maine,149.1281536,284.8245746
124,Maryland,298.03229619999996,636.5086426
125,Massachusetts,322.29644160000004,580.8829423
126,Michigan,159.3550367,407.4123917
127,Minnesota,171.6145501,518.6016242
128,Mississippi,145.6928948,232.36367599999997
129,Missouri,171.9624457,336.9607319
130,Montana,176.23461630000003,275.5119019
131,Nebraska,171.834567,327.16709080000004
132,Nevada,358.87447610000004,514.3074548000001
133,New Hampshire,214.6563957,490.27853330000005
134,New Jersey,324.9737995,662.8223082999999
135,New Mexico,171.56300349999998,305.13496160000005
136,New York,414.02609160000003,429.3132824
137,North Carolina,185.32325649999999,337.397214
138,North Dakota,161.2707736,235.20022569999998
139,Ohio,185.84265200000002,364.6549617
140,Oklahoma,169.76771440000002,251.3194736
141,Oregon,261.3662344,417.35731410000005
142,Pennsylvania,192.93755349999998,357.23425039999995
143,Rhode Island,275.6859951,475.97038319999996
144,South Carolina,155.9068053,305.8840373
145,South Dakota,151.56485869999997,262.0106611
146,Tennessee,171.6015979,319.83444489999994
147,Texas,241.3846434,336.3517471
148,Utah,204.743323,471.5010188
149,Vermont,179.0711187,317.84163870000003
150,Virginia,275.0544517,561.4465076
151,Washington,290.8818769,509.5437223
152,West Virginia,105.019255,195.411091
153,Wisconsin,184.1550959,375.97288210000005
154,Wyoming,158.89428130000002,290.1092652
155,Alabama,158.6264852,304.50377530000003
156,Alaska,282.0192712,520.5838356
157,Arizona,244.7585144,494.74632249999996
158,Arkansas,166.83951509999997,263.437412
159,California,477.15231560000007,739.7076925
160,Colorado,262.3746401,625.2822545
161,Connecticut,291.66990539999995,767.785571
162,Delaware,202.2199889,530.8453428
163,District of Columbia,565.5273842,570.2816625
164,Florida,241.7718951,443.98568339999997
165,Georgia,218.9823074,468.7563631
166,Hawaii,486.3954036,668.8037536
167,Idaho,169.31604219999997,436.9605135
168,Illinois,249.6431719,549.9855317
169,Indiana,177.2122427,371.2012798
170,Iowa,155.57389799999999,360.26887630000004
171,Kansas,196.4217298,384.0431333
172,Kentucky,159.9736821,308.1291735
173,Louisiana,188.56469009999998,311.662491
174,Maine,147.3839597,357.0995183
175,Maryland,313.49692610000005,787.3913781
176,Massachusetts,326.4372083,676.7525664
177,Michigan,164.2444534,408.0410211
178,Minnesota,179.0829768,575.8100936000001
179,Mississippi,150.7009707,271.2494799
180,Missouri,176.7093607,387.07492169999995
181,Montana,157.4202774,342.9311064
182,Nebraska,185.40839269999998,380.0458831
183,Nevada,357.8654403,574.6270227000001
184,New Hampshire,209.48792930000002,583.5538514
