State 2016Count 2016rank a b c d 
Alabama 15.14 16 15.06 19 -0.6 28
Alaska 14.57 24 13.76 31 -5.6 51
Arizona 20.92 3 21.25 3 1.6 10
Arkansas 14.36 26 14.27 26 -0.7 31
California 19.68 4 19.47 4 -1.1 36
Colorado 15.34 12 15.21 16 -0.8 33
Connecticut 12.30 41 12.11 42 -1.5 41
Delaware 12.64 39 12.21 41 -3.4 48
Florida 18.42 5 18.27 5 -0.8 32
Georgia 14.94 20 14.80 22 -1.0 35
Hawaii 14.66 22 14.67 23 0.1 23
Idaho 18.25 7 17.69 7 -3.0 47
Illinois 14.97 19 14.98 20 0.1 22
Indiana 16.22 11 16.30 11 0.5 15
Iowa 13.07 37 13.53 34 3.5 5
Kansas 13.56 34 13.48 35 -0.6 29
Kentucky 15.23 15 15.25 15 0.1 20
Louisiana 15.02 17 15.16 17 0.9 12
Maine 11.45 49 11.30 50 -1.3 39
Maryland 13.74 33 13.76 30 0.1 21
Massachusetts 12.38 40 12.42 39 0.3 19
Michigan 16.91 9 17.27 8 2.2 8
Minnesota 15.31 14 15.25 14 -0.3 27
Mississippi 15.01 18 15.07 18 0.4 18
Missouri 11.48 48 11.35 49 -1.2 37
Montana 13.02 38 12.65 38 -2.8 46
Nebraska 12.16 42 11.48 48 -5.5 50
Nevada 24.64 1 25.04 1 1.6 9
NewHampshire 11.75 46 11.64 46 -0.9 34
NewJersey 11.86 44 11.93 43 0.6 13
NewMexico 13.97 32 13.59 33 -2.7 45
NewYork 11.95 43 11.81 45 -1.2 38
NorthCarolina 14.44 25 14.65 24 1.4 11
NorthDakota 11.81 45 12.24 40 3.6 3
Ohio 14.66 21 14.44 25 -1.5 40
Oklahoma 15.32 13 15.72 12 2.6 7
Oregon 18.38 6 18.01 6 -2.0 44
Pennsylvania 14.25 27 13.66 32 -4.1 49
RhodeIsland 14.58 23 15.30 13 4.9 2
SouthCarolina 14.16 29 14.11 28 -0.3 26
SouthDakota 13.42 35 13.48 36 0.4 16
Tennessee 14.06 31 13.97 29 -0.6 30
Texas 14.18 28 14.26 27 0.6 14
Utah 22.67 2 22.24 2 -1.9 43
Vermont 10.11 51 10.11 51 0.0 24
Virginia 11.42 50 11.82 44 3.5 4
Washington 17.19 8 16.89 10 -1.7 42
WestVirginia 13.18 36 13.24 37 0.4 17
Wisconsin 14.16 30 14.96 21 5.7 1
Wyoming 11.56 47 11.55 47 0.0 25
